,house_price,house_region,n_bedrooms,has_condominium,value_condominium,has_garage,n_garage,house_size,house_hyperlink,house_category,n_bathrooms,zip_code,street_address,metro_distance,latitude,longitude,all_together
323,380000.0,Sul,3,Com condomínio,0.0,Com garagem,3,150.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/guara-casa-padrao-samambaia-sul-samambaia-1104188240,Casas,3,72315308.0,QR 519 Conjunto 8,3,-15.896501853581654, -48.11368183905732,QR 519- Samambaia Sul- Casas
1858,155000.0,Norte,2,Com condomínio,0.0,Sem garagem,0,33.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/renda-ideal-a-partir-de-1800-ganhe-ate-47-mil-de-subsidio-documentacao-gratis-1064216888,Apartamentos,1,72321005.0,QR 407 Conjunto 5,3,-15.876050241346821, -48.10125828557616,QR 407- Samambaia Norte- Apartamentos
1758,330000.0,Sul,3,Com condomínio,0.0,Sem garagem,0,200.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-tem-200-metros-quadrados-com-3-quartos-em-samambaia-sul-brasilia-df-1059413369,Casas,3,72312803.0,QR 512 Conjunto 3,3,-15.881438762833806, -48.068582001789395,QR 512- Samambaia Sul- Casas
120,180000.0,Norte,2,Com condomínio,0.0,Sem garagem,0,115.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-samambaia-sul-qr-502-1073030773,Casas,1,72318016.0,QR 402 Conjunto 16,2,-15.866307259725222, -48.08834855531934,QR 402- Samambaia Norte- Casas
2556,160000.0,Norte,1,Com condomínio,320.0,Sem garagem,0,35.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-apartamento-de-01-quartos-com-suite-nascente-1113069594,Apartamentos,1,72320000.0,QR 410,2,-15.860899954620459, -48.07705924177919,QR 410- Samambaia Norte- Apartamentos
631,129900.0,Norte,3,Com condomínio,0.0,Com garagem,2,120.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/oportunidade-de-fim-de-ano-vendo-lote-barato-com-duas-casas-2quartos-kit-samambaia-n-1118321333,Casas,2,72325100.0,QR 421,3,-15.883940533991977, -48.122256674207804,QR 421- Samambaia Norte- Casas
2026,78000.0,Sul,1,Com condomínio,0.0,Sem garagem,0,38.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/qn-118-kit-01-qts-1-andar-bem-localizada-frente-as-lojas-americanas-so-r-78-000-1113525884,Casas,1,72302850.0,QN 118,3,-15.868376167444241, -48.06383306149591,QR 118- Samambaia Sul- Casas
2179,169900.0,Sul,2,Com condomínio,0.0,Com garagem,2,120.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/atencao-urgente-vendo-excelente-lote-com-casas-simples-na-qr-510-sozinha-no-lote-1116434353,,,,,3,,,
262,280000.0,Norte,3,Com condomínio,0.0,Com garagem,3,100.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-samambaia-norte-com-3-quartos-1105213154,,,,,3,,,
1621,205000.0,Sul,1,Com condomínio,0.0,Com garagem,1,36.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-com-36-metros-quadrados-com-1-quarto-em-samambaia-sul-brasilia-1102428371,,,,,3,,,
