,complete_address,house_category,point
171,QR 605- Samambaia Norte,Casas,"-15.869073794679796, -48.10215697555955"
172,QR 606- Samambaia Norte,Casas,"-15.858012381637142, -48.085856894840575"
173,QR 607- Samambaia Norte,Casas,"-15.871753814596568, -48.10380545382008"
174,QR 608- Samambaia Norte,Apartamentos,"-15.857003580474384, -48.08264080274787"
175,QR 608- Samambaia Norte,Casas,"-15.856503032332279, -48.08306995617108"
176,QR 609- Samambaia Norte,Apartamentos,"-15.873415321921176, -48.105770671567214"
177,QR 610- Samambaia Norte,Casas,"-15.855268244822634, -48.07878994875818"
178,QR 611- Samambaia Norte,Casas,"-15.873970625279675, -48.109804201339365"
179,QR 612- Samambaia Norte,Apartamentos,"-15.854471390078723, -48.07604798580723"
180,QR 612- Samambaia Norte,Casas,"-15.854094684286784, -48.07652005457276"
181,QR 614- Samambaia Norte,Apartamentos,"-15.85281492934229, -48.07376479162934"
182,QR 614- Samambaia Norte,Casas,"-15.851932500574971, -48.07449435244879"
183,QR 615- Samambaia Norte,Casas,"-15.874322573005268, -48.117607283719614"
184,QR 617- Samambaia Norte,Casas,"-15.877174384906173, -48.118823822317914"
185,QR 619- Samambaia Norte,Casas,"-15.878486871044082, -48.12302894952972"
186,QR 621- Samambaia Norte,Casas,"-15.879682439345114, -48.124676278673064"
187,QR 623- Samambaia Norte,Casas,"-15.881603608688964, -48.12742685525665"
188,QR 625- Samambaia Norte,Casas,"-15.883009151220076, -48.13032493291954"
189,QR 629- Samambaia Norte,Casas,"-15.888837724286343, -48.143464686877074"
190,QR 631- Samambaia Norte,Casas,"-15.890286041628375, -48.14634989449299"
191,QR 633- Samambaia Norte,Casas,"-15.891161681847912, -48.148105079874156"
192,QR 827- Samambaia Norte,Casas,"-15.884189308889953, -48.145141754082715"
193,QR 829- Samambaia Norte,Casas,"-15.887207722096905, -48.1459632906555"
194,QR 831- Samambaia Norte,Apartamentos,"-15.887156915050575, -48.14726425355604"
195,QR 831- Samambaia Norte,Casas,"-15.887852615144755, -48.14627588584832"
196,QR 833- Samambaia Norte,Casas,"-15.888629228717877, -48.14611332396394"
197,Quadra 101- Samambaia Sul,Apartamentos,
198,Quadra 101- Samambaia Sul,Casas,
199,Quadra 102- Samambaia Sul,Apartamentos,
200,Quadra 201- Samambaia Norte,Apartamentos,
201,Quadra 202- Samambaia Norte,Apartamentos,
202,Quadra 301- Samambaia Sul,Apartamentos,
203,Quadra 301- Samambaia Sul,Casas,
204,Quadra 302- Samambaia Sul,Apartamentos,
205,Quadra 511- Samambaia Sul,Casas,
206,SMSE Conjunto- Samambaia Sul,Casas,"-15.876906989698618, -48.0531554384899"
