,house_category,n_bathrooms,CEP,Logradouro
628,Casas,2,72343206,QR 215 Conjunto 6
629,Apartamentos,1,72316300,QR 212
630,Casas,2,72345100,QR 221
631,Casas,2,72325100,QR 421
632,Apartamentos,1,72302000,QR 104
633,Apartamentos,1,72301554,QS 111 Conjunto I
634,Apartamentos,1,72320100,QR 412
635,Casas,2,72327000,QR 425
636,Casas,2,72325100,QR 421
637,Casas,2,72313700,QR 511
638,Apartamentos,1,72302567,QS 116 Conjunto 7 Comércio
639,Casas,2,72331300,QR 607
640,Apartamentos,1,72300530,Quadra 301
641,Casas,3,72331200,QR 605
642,Apartamentos,1,72316527,QN 210 Conjunto G Comércio
643,Casas,4,72321300,QR 413
644,Apartamentos,2,72318500,QN 402
645,Apartamentos,1,72308000,QN 312
646,Casas,1,72314300,QR 516
647,Apartamentos,2,72302209,QR 108 Conjunto 7-B
648,Casas,2,72319000,QR 401
649,Casas,1,72345200,QR 223
650,Apartamentos,2,72300543,Quadra 301 Conjunto 7
651,Apartamentos,1,72318200,QR 406
652,Apartamentos,1,72320100,QR 412
653,Apartamentos,1,72305000,QN 303
654,Casas,3,72312600,QR 510
655,Apartamentos,1,72312003,QN 506 Conjunto 3
656,Apartamentos,1,72321006,QR 407 Conjunto 6
657,Apartamentos,1,72316108,QR 208 Conjunto 7-A
658,Apartamentos,1,72302251,QN 108 Conjunto 1
659,Apartamentos,1,72309300,QR 321
660,Apartamentos,1,72316108,QR 208 Conjunto 7-A
661,Apartamentos,1,72318504,QN 402 Conjunto D Comércio
662,Apartamentos,2,72301562,QS 113 Conjunto B
663,Apartamentos,1,72308100,QR 312
664,Casas,1,72333404,QR 625 Conjunto 3
665,Apartamentos,1,72304502,QS 120 Conjunto 2
666,,,,
667,,,,
668,Casas,2,72302700,QR 116
669,Apartamentos,1,72327561,QS 427 Conjunto K Comércio
670,Casas,5 ou mais,72310211,SMSE Conjunto 11
671,Apartamentos,2,72302532,QS 110 Conjunto 2 Comércio
672,Casas,5 ou mais,72318012,QR 402 Conjunto 12
673,Apartamentos,1,72310000,QN 320
674,,,,
675,Casas,2,72320005,QR 410 Conjunto 5
676,Casas,2,72315115,QR 515 Conjunto 15
677,Casas,2,72301800,QR 121
678,Apartamentos,1,72309302,QR 321 Conjunto 2
679,Casas,2,72302200,QR 108
680,Apartamentos,1,72309300,QR 321
681,Apartamentos,2,72300503,Quadra 101 Conjunto 2
682,Apartamentos,1,72302560,QS 116
683,Apartamentos,1,72318580,QN 408
684,Apartamentos,1,72304101,QN 122 Conjunto 1
685,,,,
686,Casas,5 ou mais,72319009,QR 401 Conjunto 9
687,Casas,4,72314306,QR 516 Conjunto 6
688,Apartamentos,1,72316213,QR 210 Conjunto 12
689,Apartamentos,1,72319560,QN 405
690,,,,
691,Casas,2,72308108,
692,Casas,3,72304012,QR 120 Conjunto 12
693,Casas,2,72331016,QR 601 Conjunto 16
694,Casas,2,72322604,QR 612 Conjunto 4
695,Casas,,72302204,
696,Casas,1,72308800,QR 318
697,Apartamentos,1,72302510,QS 106
698,,,,
699,Casas,1,72308800,QR 318
700,Casas,2,72331300,QR 607
701,Casas,4,72341200,QR 205
702,Casas,3,72302300,QR 110
703,Casas,2,72313700,QR 511
704,Apartamentos,1,72321006,QR 407 Conjunto 6
705,Casas,4,72316000,QR 206
706,Apartamentos,1,72341100,QR 203
707,,,,
708,Casas,2,72319000,QR 401
709,Apartamentos,1,72300530,Quadra 301
710,Casas,1,72345200,QR 223
711,Casas,3,72331200,QR 605
712,Casas,1,72312800,QR 512
713,Apartamentos,1,72308000,QN 312
714,Casas,1,72314300,QR 516
715,Casas,4,72321300,QR 413
716,Apartamentos,1,72321012,QR 407 Conjunto 12
717,Casas,2,72318033,QR 402 Conjunto 32
718,Apartamentos,2,72302605,QR 114 Conjunto 4-A Comércio
719,Casas,3,72331150,QR 603 Chácara 39 Condomínio Vida Nova
720,Apartamentos,1,72318572,QS 406 Conjunto B Comércio
721,Casas,2,72325200,QR 423
722,Casas,2,72321317,QR 413 Conjunto 14
723,Apartamentos,1,72302705,QR 116 Conjunto 4-A Comércio
724,Casas,3,72341406,QR 209 Conjunto 6
725,,,,
726,Casas,4,72308812,QR 318 Conjunto 11
727,Casas,4,72315114,QR 515 Conjunto 14
728,Apartamentos,1,72301502,QS 103 Conjunto 2 Comércio
729,Apartamentos,1,72309305,QR 321 Conjunto 5
730,Casas,2,72341201,QR 205 Conjunto 1
731,Casas,2,72312600,QR 510
732,Apartamentos,2,72302151,QN 106 Conjunto 1
733,Apartamentos,1,72320018,QR 410 Conjunto 15-A
734,Casas,1,72318200,QR 406
735,Casas,1,72331802,QR 615 Conjunto 2
736,Casas,5 ou mais,72341200,QR 205
737,,,,
738,Apartamentos,2,72310502,QS 320 Conjunto 2 Comércio
739,Apartamentos,1,72325109,QR 421 Conjunto 8
740,Casas,1,72318010,QR 402 Conjunto 10
741,Casas,1,72309609,QR 323 Conjunto 9
742,Casas,2,72311803,QR 505 Conjunto 3
743,Apartamentos,1,72321003,QR 407 Conjunto 3
744,Apartamentos,1,72321000,QR 407
745,Casas,3,72319010,
746,Apartamentos,1,72302804,QR 118 Conjunto 3-A
747,Casas,3,72322000,QR 602
748,Apartamentos,1,72321007,QR 407 Conjunto 7
749,Casas,4,72316100,QR 208
750,Casas,2,72320000,QR 410
751,Apartamentos,1,72322704,QR 614 Conjunto 4
752,Apartamentos,3,72304053,QN 120 Conjunto 3
753,Apartamentos,1,72309300,QR 321
754,Casas,5 ou mais,72329000,QR 429
755,Apartamentos,1,72329554,QS 431 Conjunto D Comércio
756,,,,
757,Apartamentos,1,72310011,QN 320 Conjunto 11
758,Casas,1,72311100,QR 327
759,Apartamentos,1,72322571,QN 614 Conjunto A
760,Casas,2,72308806,QR 318 Conjunto 6
761,Apartamentos,2,72304052,QN 120 Conjunto 2
762,Casas,2,72323105,QR 417 Conjunto 5
763,Casas,1,72314302,QR 516 Conjunto 2
764,Casas,1,72321204,QR 411 Conjunto 4
765,Apartamentos,1,72321000,QR 407
766,Apartamentos,1,72316300,QR 212
767,Casas,2,72325001,QR 419 Conjunto 1
768,Apartamentos,2,72300531,Quadra 301 Conjunto 1
769,,,,
770,,,,
771,Casas,5 ou mais,72310200,Setor de Mansões Sudeste
772,Casas,1,72333100,QR 619
773,Apartamentos,2,72321103,QR 409 Conjunto 3
774,Casas,2,72318000,QR 402
775,Casas,3,72308804,QR 318 Conjunto 4
776,Apartamentos,1,72313203,QN 509 Conjunto 3
777,Apartamentos,1,72309304,QR 321 Conjunto 4
778,Apartamentos,2,72322801,QI 616 Conjunto 1
779,Apartamentos,1,72318520,QS 402
780,Apartamentos,1,72325109,QR 421 Conjunto 8
781,Apartamentos,1,72321005,QR 407 Conjunto 5
782,Apartamentos,1,72309306,QR 321 Conjunto 6
783,Apartamentos,1,72309307,QR 321 Conjunto 7
784,Casas,1,72315019,QR 513 Conjunto 19
785,Casas,1,72318220,QR 406 Conjunto 19
786,Apartamentos,2,72321000,QR 407
787,Casas,4,72302520,QS 108
788,Apartamentos,1,72302151,QN 106 Conjunto 1
789,Casas,1,72321102,QR 409 Conjunto 2
790,Apartamentos,1,72302304,QR 110 Conjunto 4
791,Casas,2,72325001,QR 419 Conjunto 1
792,Casas,5 ou mais,72308100,QR 312
793,Apartamentos,1,72316107,QR 208 Conjunto 7
794,Casas,2,72308807,QR 318 Conjunto 7
795,Apartamentos,1,72308007,QN 312 Conjunto 7
796,Casas,5 ou mais,72320100,QR 412
797,Casas,1,72333104,QR 619 Conjunto 4
798,Casas,2,72321207,QR 411 Conjunto 7
799,Apartamentos,1,72321007,QR 407 Conjunto 7
800,Casas,1,72320225,QR 414 Conjunto 18
801,Apartamentos,1,72321007,QR 407 Conjunto 7
802,Casas,2,72316300,QR 212
803,Casas,2,72307613,QR 315 Conjunto 13
804,Apartamentos,1,72318512,QN 402 Conjunto L Comércio
805,Casas,5 ou mais,72305300,QR 305
806,Apartamentos,1,72318000,QR 402
807,Casas,1,72303204,QR 127 Conjunto 4
808,Apartamentos,1,72320000,QR 410
809,Casas,5 ou mais,72316002,QR 206 Conjunto 2
810,Apartamentos,1,72302151,QN 106 Conjunto 1
811,Casas,1,72307303,QR 313 Conjunto 3
812,Apartamentos,1,72310011,QN 320 Conjunto 11
813,Casas,3,72323014,QR 415 Conjunto 14
814,Apartamentos,1,72302352,QN 110 Conjunto 2
815,Casas,1,72316119,QR 208 Conjunto 18
816,Casas,2,72307107,QR 311 Conjunto 7
817,Apartamentos,1,72309303,QR 321 Conjunto 3
818,Apartamentos,1,72302304,QR 110 Conjunto 4
819,Apartamentos,1,72316300,QR 212
820,,,,
821,Apartamentos,1,72321012,QR 407 Conjunto 12
822,Casas,2,72333100,QR 619
823,Apartamentos,2,72301000,QR 103
824,Casas,1,72314000,QN 514
825,Apartamentos,1,72302350,QN 110
826,Casas,3,72339078,QR 1033 Conjunto 8
827,Casas,2,72318026,QR 402 Conjunto 25
828,Apartamentos,1,72300531,Quadra 301 Conjunto 1
829,Apartamentos,2,72310004,QN 320 Conjunto 4
830,Casas,1,72304200,QR 122
831,Apartamentos,1,72318540,QN 404
832,Apartamentos,1,72318300,QR 408
833,Casas,1,72316100,QR 208
834,Apartamentos,1,72302567,QS 116 Conjunto 7 Comércio
835,Apartamentos,1,72300647,Quadra 302 Conjunto 9
836,Casas,2,72321303,QR 413 Conjunto 3
837,,,,
838,,,,
839,Casas,1,72308800,QR 318
840,Apartamentos,1,72308007,QN 312 Conjunto 7
841,Casas,3,72312302,QR 508 Conjunto 2
842,Apartamentos,1,72309300,QR 321
843,Apartamentos,1,72325109,QR 421 Conjunto 8
844,Casas,2,72331300,QR 607
845,,,,
846,Apartamentos,1,72321506,QN 407 Conjunto F Comércio
847,Casas,2,72318230,QR 406 Conjunto 28
848,,,,
849,Casas,2,72313700,QR 511
850,Casas,1,72322016,QR 602 Conjunto 16
851,Apartamentos,1,72309306,QR 321 Conjunto 6
852,Casas,1,72320000,QR 410
853,Casas,1,72327000,QR 425
854,Apartamentos,2,72300533,Quadra 301 Conjunto 2
855,Apartamentos,2,72321535,QS 409 Conjunto E Comércio
856,Apartamentos,1,72321000,QR 407
857,Apartamentos,2,72300530,Quadra 301
858,Apartamentos,1,72308000,QN 312
859,Casas,2,72319000,QR 401
860,Apartamentos,1,72300530,Quadra 301
861,Casas,5 ou mais,72310200,Setor de Mansões Sudeste
862,Casas,1,72314300,QR 516
863,Casas,1,72345200,QR 223
864,Casas,4,72321300,QR 413
865,Apartamentos,1,72310000,QN 320
866,Casas,3,72331200,QR 605
867,,,,
868,Apartamentos,1,72302251,QN 108 Conjunto 1
869,,,,
870,Casas,2,72307601,QR 315 Conjunto 1
871,,,,
872,Casas,2,72314117,QR 514 Conjunto 16
873,Casas,5 ou mais,72308603,QR 316 Conjunto 3
874,Apartamentos,2,72320300,QI 416
875,Apartamentos,2,72320300,QI 416
876,Apartamentos,2,72300531,Quadra 301 Conjunto 1
877,Apartamentos,2,72306501,QS 304 Conjunto 1 Comércio
878,Casas,3,72309604,QR 323 Conjunto 4
879,Casas,2,72314709,ADE Conjunto 9
880,Casas,1,72302200,QR 108
881,Apartamentos,1,72309300,QR 321
882,,,,
883,Casas,2,72303104,QR 125 Conjunto 4
884,Casas,1,72339124,QR 827 Conjunto 9
885,Apartamentos,2,72316041,Quadra 202 Conjunto 1
886,Apartamentos,1,72310501,QS 320 Conjunto 1 Comércio
887,Apartamentos,1,72309304,QR 321 Conjunto 4
888,Casas,1,72314301,QR 516 Conjunto 1
889,,,,
890,Casas,3,72318000,QR 402
891,Apartamentos,2,72305300,QR 305
892,Apartamentos,1,72309304,QR 321 Conjunto 4
893,Casas,2,72323000,QR 415
894,Casas,2,72318002,QR 402 Conjunto 2
895,Casas,1,72343202,QR 215 Conjunto 2
896,Apartamentos,1,72305500,QS 303
897,Apartamentos,1,72339079,QR 1033 Conjunto 9
898,Casas,2,72318000,QR 402
899,Apartamentos,1,72316300,QR 212
900,Apartamentos,1,72302513,QS 106 Conjunto 3 Comércio
901,Apartamentos,1,72309300,QR 321
902,Casas,1,72307310,QR 313 Conjunto 10
903,Casas,1,72307310,QR 313 Conjunto 10
904,Casas,2,72316100,QR 208
905,Apartamentos,1,72302151,QN 106 Conjunto 1
906,Apartamentos,2,72318585,QN 408 Conjunto E Comércio
907,Casas,5 ou mais,72315100,
908,Casas,2,72310108,QR 320 Conjunto 8
909,Casas,5 ou mais,72315100,QR 515
910,Casas,2,72322300,QR 608
911,,,,
912,Apartamentos,1,72315580,QS 519
913,Casas,2,72322300,QR 608
914,Casas,2,72343200,QR 215
915,Casas,2,72316300,QR 212
916,Casas,1,72316300,QR 212
917,Apartamentos,1,72325520,QS 419
918,Casas,1,72314103,QR 514 Conjunto 3
919,,,,
920,Casas,2,72322106,QR 604 Conjunto 6
921,Apartamentos,1,72309300,QR 321
922,Casas,3,72331150,QR 603 Chácara 39 Condomínio Vida Nova
923,Apartamentos,1,72309202,QN 321 Conjunto B
924,Apartamentos,1,72306408,QN 308 Conjunto 8
925,Casas,3,72302603,QR 114 Conjunto 3 Comércio
926,Apartamentos,1,72325520,QS 419
927,Casas,2,72315313,QR 519 Conjunto 13
928,Apartamentos,1,72318564,QN 406 Conjunto D Comércio
929,Casas,2,72321300,QR 413
930,Casas,1,72316200,QR 210
931,Apartamentos,1,72301502,QS 103 Conjunto 2 Comércio
932,,,,
933,Casas,3,72316013,QR 206 Conjunto 13
934,Apartamentos,1,72302563,QS 116 Conjunto 3
935,Casas,3,72327100,QR 427
936,Casas,3,72327000,QR 425
937,Apartamentos,2,72305507,QS 303 Conjunto 7 Comércio
938,Casas,2,72341200,QR 205
939,Casas,1,72311104,QR 327 Conjunto 4
940,Apartamentos,1,72318580,QN 408
941,,,,
942,Casas,2,72316090,QR 204 Conjunto 10
943,Apartamentos,2,72310011,QN 320 Conjunto 11
944,Casas,2,72305800,QR 309
945,Apartamentos,1,72309306,QR 321 Conjunto 6
946,Casas,1,72302701,QR 116 Conjunto 1 Comércio
947,Apartamentos,2,72318520,QS 402
948,Apartamentos,2,72304005,QR 120 Conjunto 5
949,Apartamentos,1,72329554,QS 431 Conjunto D Comércio
950,Casas,2,72321000,QR 407
951,Apartamentos,1,72316100,QR 208
952,Apartamentos,1,72304052,QN 120 Conjunto 2
953,Apartamentos,2,72300543,Quadra 301 Conjunto 7
954,Apartamentos,1,72321551,QS 411 Conjunto A
955,Casas,2,72325200,QR 423
956,Apartamentos,1,72308530,QS 318
957,Casas,2,72314307,QR 516 Conjunto 7
958,Casas,1,72341111,QR 203 Conjunto 11
959,,,,
960,Apartamentos,1,72312301,QR 508 Conjunto 1
961,Apartamentos,1,72319505,QN 401 Conjunto E Comércio
962,Apartamentos,1,72304051,QN 120 Conjunto 1
963,Apartamentos,1,72309300,QR 321
964,Apartamentos,1,72321000,QR 407
965,Apartamentos,1,72310502,QS 320 Conjunto 2 Comércio
966,Casas,2,72314104,QR 514 Conjunto 4
967,Casas,3,72322200,QR 606
968,Apartamentos,1,72300531,Quadra 301 Conjunto 1
969,Casas,1,72343004,QR 211 Conjunto 4
970,Apartamentos,1,72321005,QR 407 Conjunto 5
971,Casas,1,72315500,QN 513
972,Casas,2,72316100,QR 208
973,Apartamentos,1,72310000,QN 320
974,Apartamentos,1,72325552,QS 421 Conjunto B Comércio
975,Casas,5 ou mais,72341203,QR 205 Conjunto 3
976,Apartamentos,1,72321510,QS 407
977,Apartamentos,2,72318580,QN 408
978,Apartamentos,2,72320326,QI 416 Conjunto P
979,Casas,3,72321312,QR 413 Conjunto 11
980,Apartamentos,1,72321012,QR 407 Conjunto 12
981,Casas,2,72345100,QR 221
982,Apartamentos,1,72321505,QN 407 Conjunto E Comércio
983,Apartamentos,1,72300545,Quadra 301 Conjunto 8
984,Apartamentos,1,72310319,QN 502 Conjunto 19
985,Casas,1,72301709,QR 115 Conjunto 9
986,Casas,1,72308800,QR 318
987,Casas,2,72314300,QR 516
988,Casas,4,72304204,QR 122 Conjunto 4
989,,,,
990,,,,
991,Apartamentos,1,72318028,QR 402 Conjunto 27
992,Casas,3,72302320,QR 110 Conjunto 10A
993,Casas,1,72345200,QR 223
994,Casas,5 ou mais,72308814,QR 318 Conjunto 13
995,Casas,4,72321300,QR 413
996,Apartamentos,2,72300653,Quadra 302 Conjunto 12
997,Casas,3,72312611,QR 510 Conjunto 11
998,Apartamentos,1,72316108,QR 208 Conjunto 7-A
999,Casas,1,72316012,QR 206 Conjunto 12
1000,Casas,2,72308811,QR 318 Conjunto 10
1001,Apartamentos,,72302560,QS 116
1002,,,,
1003,,,,
1004,Casas,4,72308812,QR 318 Conjunto 11
1005,Casas,3,72316100,QR 208
1006,Casas,5 ou mais,72320100,QR 412
1007,Apartamentos,2,72304006,QR 120 Conjunto 6
1008,Apartamentos,1,72318545,QN 404 Conjunto E Comércio
1009,Casas,2,72325200,QR 423
1010,,,,
1011,,,,
1012,Casas,5 ou mais,72308315,QR 314 Conjunto 13
1013,Casas,2,72331300,QR 607
1014,Casas,1,72345303,QR 225 Conjunto 3
1015,Casas,5 ou mais,72315100,QR 515
1016,Apartamentos,1,72308000,QN 312
1017,Casas,1,72307310,QR 313 Conjunto 10
1018,,,,
1019,Apartamentos,1,72300530,Quadra 301
1020,Casas,2,72313700,QR 511
1021,,,,
1022,Casas,2,72319000,QR 401
1023,Casas,1,72318206,QR 406 Conjunto 6
1024,Casas,3,72331200,QR 605
1025,Casas,5 ou mais,72319120,QR 403 Conjunto 19
1026,Apartamentos,2,72310527,QS 502 Conjunto 7 Comércio
1027,Apartamentos,2,72318300,QR 408
1028,Casas,2,72345106,QR 221 Conjunto 6
1029,Casas,1,72302520,QS 108
1030,,,,
1031,Apartamentos,2,72300543,Quadra 301 Conjunto 7
1032,Apartamentos,1,72305506,QS 303 Conjunto 6 Comércio
1033,Casas,2,72316004,QR 206 Conjunto 4
1034,Apartamentos,2,72305506,QS 303 Conjunto 6 Comércio
1035,Casas,3,72327100,QR 427
1036,Apartamentos,1,72310100,QR 320
1037,Apartamentos,2,72305500,QS 303
1038,Apartamentos,2,72300499,Quadra 101
1039,Casas,1,72327010,QR 425 Conjunto 10
1040,Casas,2,72322014,QR 602 Conjunto 14
1041,Apartamentos,1,72321003,QR 407 Conjunto 3
1042,Apartamentos,1,72321002,QR 407 Conjunto 2
1043,Apartamentos,1,72318580,QN 408
1044,Apartamentos,2,72325000,QR 419
1045,Casas,1,72310708,QR 504 Conjunto 7
1046,Casas,3,72302320,QR 110 Conjunto 10A
1047,Apartamentos,1,72325552,QS 421 Conjunto B Comércio
1048,Casas,1,72318100,QR 404
1049,Apartamentos,1,72309300,QR 321
1050,Apartamentos,1,72311503,QS 501 Conjunto 3 Comércio
1051,Apartamentos,2,72311503,QS 501 Conjunto 3 Comércio
1052,Casas,2,72305802,QR 309 Conjunto 2
1053,Casas,2,72318232,QR 406 Conjunto 30
1054,Casas,2,72314105,QR 514 Conjunto 5
1055,Casas,1,72318203,QR 406 Conjunto 3
1056,Casas,3,72316013,QR 206 Conjunto 13
1057,Casas,2,72318112,QR 404 Conjunto 11
1058,,,,
1059,Casas,4,72306601,QR 308 Conjunto 1
1060,Apartamentos,1,72320580,QS 414
1061,Apartamentos,2,72300545,Quadra 301 Conjunto 8
1062,Casas,1,72338710,QR 831
1063,,,,
1064,,,,
1065,,,,
1066,Casas,1,72327026,QR 425 Conjunto 25
1067,Apartamentos,1,72309302,QR 321 Conjunto 2
1068,Apartamentos,1,72308007,QN 312 Conjunto 7
1069,Apartamentos,1,72341104,QR 203 Conjunto 4
1070,Casas,1,72303200,QR 127
1071,Apartamentos,1,72318300,QR 408
1072,,,,
1073,Casas,2,72303200,QR 127
1074,Apartamentos,1,72320500,QN 410
1075,Apartamentos,1,72320326,QI 416 Conjunto P
1076,Apartamentos,1,72310000,QN 320
1077,Casas,3,72318031,QR 402 Conjunto 30
1078,Apartamentos,1,72318580,QN 408
1079,,,,
1080,Casas,1,72312601,QR 510 Conjunto 1
1081,,,,
1082,Apartamentos,1,72309300,QR 321
1083,Apartamentos,1,72310004,QN 320 Conjunto 4
1084,Apartamentos,1,72309300,QR 321
1085,Apartamentos,1,72305501,QS 303 Conjunto 1 Comércio
1086,Apartamentos,2,72306501,QS 304 Conjunto 1 Comércio
1087,Apartamentos,1,72305520,QS 307
1088,Apartamentos,1,72300533,Quadra 301 Conjunto 2
1089,Apartamentos,1,72309302,QR 321 Conjunto 2
1090,,,,
1091,Apartamentos,1,72321100,QR 409
1092,,,,
1093,Apartamentos,1,72321000,QR 407
1094,,,,
1095,Casas,2,72314100,QR 514
1096,Casas,1,72320202,QR 414 Conjunto 2
1097,Apartamentos,1,72316524,QN 210 Conjunto D Comércio
1098,Apartamentos,1,72321003,QR 407 Conjunto 3
1099,,,,
1100,,,,
1101,Apartamentos,1,72316300,QR 212
1102,Casas,1,72325210,QR 423 Conjunto 9
1103,,,,
1104,Casas,2,72316000,QR 206
1105,Apartamentos,1,72322701,QR 614 Conjunto 1
1106,Casas,1,72331011,QR 601 Conjunto 11
1107,Apartamentos,1,72321000,QR 407
1108,Apartamentos,1,72327561,QS 427 Conjunto K Comércio
1109,Apartamentos,1,72321000,QR 407
1110,Apartamentos,2,72319500,QN 401
1111,,,,
1112,Casas,2,72312705,QN 512 Conjunto 5
1113,Apartamentos,2,72320301,QI 416 Conjunto 1
1114,Apartamentos,1,72309304,QR 321 Conjunto 4
1115,Apartamentos,1,72321505,QN 407 Conjunto E Comércio
1116,Casas,3,72305115,QR 303 Conjunto 14
1117,Apartamentos,1,72309307,QR 321 Conjunto 7
1118,Apartamentos,1,72318576,QS 406 Conjunto F Comércio
1119,Apartamentos,1,72318576,QS 406 Conjunto F Comércio
1120,Casas,1,72327000,QR 425
1121,Casas,3,72319025,QR 401 Conjunto 25
1122,Apartamentos,2,72320300,QI 416
1123,Casas,4,72315108,QR 515 Conjunto 8
1124,Apartamentos,1,72321514,QS 407 Conjunto D Comércio
1125,Apartamentos,1,72305501,QS 303 Conjunto 1 Comércio
1126,Apartamentos,1,72318504,QN 402 Conjunto D Comércio
1127,Casas,1,72318107,QR 404 Conjunto 6
1128,,,,
1129,Casas,4,72341100,QR 203
1130,Casas,2,72341207,QR 205 Conjunto 7
1131,,,,
1132,Casas,1,72316013,QR 206 Conjunto 13
1133,Apartamentos,1,72309306,QR 321 Conjunto 6
1134,Casas,1,72318230,QR 406 Conjunto 28
1135,Casas,2,72335204,QR 633 Conjunto 2-B
1136,Apartamentos,1,72322575,QN 614 Conjunto E
1137,Apartamentos,1,72315558,QS 517 Conjunto H Comércio
1138,,,,
1139,Apartamentos,1,72306408,QN 308 Conjunto 8
1140,Casas,2,72303200,QR 127
1141,Casas,1,72327026,QR 425 Conjunto 25
1142,Casas,2,72325200,QR 423
1143,Apartamentos,1,72321000,QR 407
1144,Casas,2,72329224,QR 433 Conjunto 18
1145,Apartamentos,1,72302707,QR 116 Conjunto 6 Comércio
1146,Casas,3,72311100,QR 327
1147,Apartamentos,1,72310000,QN 320
1148,Apartamentos,1,72315581,QS 519 Conjunto A Comércio
1149,,,,
1150,Casas,1,72302310,QR 110 Conjunto 10
1151,Apartamentos,1,72316300,QR 212
1152,Apartamentos,1,72309305,QR 321 Conjunto 5
1153,Apartamentos,1,72321007,QR 407 Conjunto 7
1154,Apartamentos,1,72309306,QR 321 Conjunto 6
1155,Apartamentos,1,72321000,QR 407
1156,,,,
1157,,,,
1158,Apartamentos,1,72321503,QN 407 Conjunto C Comércio
1159,Apartamentos,1,72309300,QR 321
1160,Casas,1,72329200,QR 433
1161,Apartamentos,1,72320300,QI 416
1162,Apartamentos,1,72321000,QR 407
1163,Casas,1,72313712,QR 511 Conjunto 12
1164,Apartamentos,1,72309303,QR 321 Conjunto 3
1165,Apartamentos,1,72321012,QR 407 Conjunto 12
1166,Casas,1,72302350,QN 110
1167,Apartamentos,2,72322570,QN 614
1168,Apartamentos,1,72321000,QR 407
1169,Apartamentos,1,72321007,QR 407 Conjunto 7
1170,Casas,1,72339120,
1171,Casas,5 ou mais,72341203,
1172,Apartamentos,1,72309307,QR 321 Conjunto 7
1173,Apartamentos,1,72319502,QN 401 Conjunto B Comércio
1174,Casas,2,72320027,QR 410 Conjunto 24
1175,Apartamentos,1,72310000,QN 320
1176,Apartamentos,1,72321007,QR 407 Conjunto 7
1177,Apartamentos,1,72321501,QN 407 Conjunto A Comércio
1178,Apartamentos,1,72302151,QN 106 Conjunto 1
1179,Apartamentos,1,72309306,QR 321 Conjunto 6
1180,Apartamentos,1,72309300,QR 321
1181,Casas,3,72316300,QR 212
1182,Apartamentos,2,72300530,Quadra 301
1183,Casas,5 ou mais,72312811,QR 512 Conjunto 10
1184,Apartamentos,1,72318586,QN 408 Conjunto F Comércio
1185,Apartamentos,2,72320300,QI 416
1186,Apartamentos,1,72327505,QN 425 Conjunto E Comércio
1187,Casas,,72320000,QR 410
1188,Apartamentos,1,72321003,QR 407 Conjunto 3
1189,Apartamentos,1,72309305,QR 321 Conjunto 5
1190,Apartamentos,1,72302562,QS 116 Conjunto 2 Comércio
1191,Apartamentos,1,72302562,QS 116 Conjunto 2 Comércio
1192,Apartamentos,1,72300647,Quadra 302 Conjunto 9
1193,,,,
1194,,,,
1195,Apartamentos,1,72321000,QR 407
1196,Apartamentos,1,72321510,QS 407
1197,Apartamentos,1,72309300,QR 321
1198,Apartamentos,1,72309303,QR 321 Conjunto 3
1199,Apartamentos,1,72320119,QR 412 Conjunto 17
1200,Apartamentos,1,72321006,QR 407 Conjunto 6
1201,Casas,1,72308800,QR 318
1202,Apartamentos,1,72302251,QN 108 Conjunto 1
1203,Apartamentos,1,72300530,Quadra 301
1204,Apartamentos,1,72305109,QR 303 Conjunto 9
1205,Apartamentos,1,72321500,QN 407
1206,Casas,2,72313700,QR 511
1207,Casas,1,72323015,QR 415 Conjunto 15
1208,Casas,2,72331300,QR 607
1209,Casas,2,72318232,QR 406 Conjunto 30
1210,Casas,1,72314300,
1211,Casas,2,72319000,QR 401
1212,Apartamentos,1,72308000,QN 312
1213,Apartamentos,1,72321006,QR 407 Conjunto 6
1214,Casas,3,72331200,QR 605
1215,Casas,1,72345200,QR 223
1216,Apartamentos,1,72309303,QR 321 Conjunto 3
1217,Apartamentos,1,72309300,QR 321
1218,Casas,4,72321300,QR 413
1219,Casas,2,72322204,QR 606 Conjunto 4
1220,Apartamentos,1,72300545,Quadra 301 Conjunto 8
1221,Apartamentos,2,72304103,QN 122 Conjunto 3
1222,,,,
1223,Apartamentos,1,72321012,QR 407 Conjunto 12
1224,Casas,3,72304203,QR 122 Conjunto 3
1225,Casas,1,72307310,QR 313 Conjunto 10
1226,Apartamentos,2,72302151,QN 106 Conjunto 1
1227,Apartamentos,2,72300545,Quadra 301 Conjunto 8
1228,Apartamentos,2,72341001,Quadra 201 Conjunto 1
1229,Apartamentos,2,72301560,QS 113
1230,Apartamentos,2,72341001,Quadra 201 Conjunto 1
1231,Apartamentos,2,72300533,Quadra 301 Conjunto 2
1232,Apartamentos,2,72320528,QS 410 Conjunto H Comércio
1233,Casas,2,72310215,SMSE Conjunto 15
1234,Apartamentos,2,72320300,QI 416
1235,Apartamentos,2,72320300,QI 416
1236,Apartamentos,2,72302115,QR 106 Conjunto 15
1237,Apartamentos,1,72316300,QR 212
1238,,,,
1239,Casas,1,72339118,QR 827 Conjunto 3
1240,Apartamentos,1,72309307,QR 321 Conjunto 7
1241,Casas,1,72307310,QR 313 Conjunto 10
1242,Apartamentos,2,72320300,QI 416
1243,Casas,2,72318002,QR 402 Conjunto 2
1244,Casas,2,72316100,QR 208
1245,Apartamentos,1,72316300,QR 212
1246,,,,
