,house_category,n_bathrooms,CEP,Logradouro
135,Apartamentos,2,72304050,QN 120
136,Casas,1,72321304,QR 413 Conjunto 4
137,Casas,2,72319001,QR 401 Conjunto 1
138,Apartamentos,1,72300647,Quadra 302 Conjunto 9
139,Casas,1,72318200,QR 406
140,Casas,2,72316111,QR 208 Conjunto 10
141,Apartamentos,2,72300530,Quadra 301
142,Casas,1,72305600,QR 307
143,Casas,3,72322005,QR 602 Conjunto 5
144,Casas,2,72311300,QR 501
145,Apartamentos,1,72314701,ADE Conjunto 1
146,Casas,1,72320109,QR 412 Conjunto 8
147,Apartamentos,2,72300530,Quadra 301
148,Apartamentos,2,72322570,QN 614
149,Casas,2,72322200,QR 606
150,Casas,1,72325580,QS 423
151,Casas,1,72320001,QR 410 Conjunto 1
152,Casas,1,72320001,QR 410 Conjunto 1
153,Apartamentos,1,72321007,
154,Casas,3,72311613,QR 503 Conjunto 11
155,Casas,1,72333300,QR 623
156,Casas,2,72311300,QR 501
157,Apartamentos,2,72300533,Quadra 301 Conjunto 2
158,Apartamentos,2,72339800,Rodovia DF-180
159,Casas,2,72338750,QR 833
160,Casas,3,72309101,QR 319 Conjunto 1
161,Casas,1,72320001,QR 410 Conjunto 1
162,Casas,1,72320001,QR 410 Conjunto 1
163,Casas,1,72345200,QR 223
164,Casas,2,72319003,QR 401 Conjunto 3
165,Casas,1,72331104,QR 603 Conjunto 4
166,Casas,1,72331104,QR 603 Conjunto 4
167,Casas,2,72339137,QN 827 Conjunto 2
168,Casas,1,72320001,QR 410 Conjunto 1
169,Casas,1,72320001,QR 410 Conjunto 1
170,Casas,1,72338713,QR 831 Conjunto 3
171,Apartamentos,1,72321100,QR 409
172,Casas,2,72316208,QR 210 Conjunto 8
173,,,,
174,Casas,1,72345200,QR 223
175,Casas,2,72319003,QR 401 Conjunto 3
176,Casas,1,72331104,QR 603 Conjunto 4
177,Casas,1,72331104,QR 603 Conjunto 4
178,Apartamentos,1,72313203,QN 509 Conjunto 3
179,,,,
180,Casas,1,72320000,QR 410
181,Casas,1,72331104,QR 603 Conjunto 4
182,Casas,1,72331104,QR 603 Conjunto 4
183,Casas,2,72319003,QR 401 Conjunto 3
184,Casas,1,72345200,QR 223
185,Casas,1,72327000,QR 425
186,Apartamentos,1,72331500,QS 601
187,Casas,1,72320001,QR 410 Conjunto 1
188,Casas,1,72320001,QR 410 Conjunto 1
189,Apartamentos,1,72325580,QS 423
190,Casas,2,72325109,QR 421 Conjunto 8
191,Casas,2,72316100,QR 208
192,Casas,1,72312113,QR 506 Conjunto 13
193,Apartamentos,1,72302151,QN 106 Conjunto 1
194,Apartamentos,1,72320018,QR 410 Conjunto 15-A
195,Casas,1,72325000,QR 419
196,Casas,2,72305810,QR 309 Conjunto 9
197,Apartamentos,1,72318572,QS 406 Conjunto B Comércio
198,,,,
199,,,,
200,Apartamentos,1,72313004,QN 507 Conjunto 4
201,Casas,1,72301805,QR 121 Conjunto 5
202,Apartamentos,1,72323015,QR 415 Conjunto 15
203,Casas,1,72323520,QS 415
204,Apartamentos,1,72308536,QS 318 Conjunto 6 Comércio
205,Apartamentos,1,72321005,QR 407 Conjunto 5
206,,,,
207,Casas,2,72316000,QR 206
208,Apartamentos,1,72321006,QR 407 Conjunto 6
209,Casas,1,72312700,QN 512
210,Apartamentos,1,72305507,QS 303 Conjunto 7 Comércio
211,Casas,1,72323116,QR 417 Conjunto 16
212,Casas,1,72320118,QR 412 Conjunto 16
213,Casas,3,72304020,QR 120 Conjunto 10A
214,Casas,2,72308602,QR 316 Conjunto 2
215,,,,
216,Apartamentos,2,72313100,QR 507
217,Apartamentos,1,72321000,QR 407
218,Casas,2,72320311,QI 416 Conjunto A
